state	pTTree	pPTree	neg	off.r	off.p	pi	w.shape	w.scale	ws.shape	ws.scale
100	-583.974504941824	164.967025783127	0.0480609502952725	1.80487179581542	0.490896616782993	0.129588938062079	8.7	0.0046	8.7	0.0046
200	-565.922766425543	160.304922687023	0.0209130481194884	1.40196052601095	0.505337735870854	0.300203534215689	8.7	0.0046	8.7	0.0046
300	-174.3647106518	157.455946870494	0.028857974863407	1.14997506560758	0.538545433664695	0.269642254081555	8.7	0.0046	8.7	0.0046
400	-170.16810917337	148.852171015074	0.248430097654258	1.4029580069473	0.463628109614365	0.447595117567107	8.7	0.0046	8.7	0.0046
500	-149.800016096101	149.381865325806	0.0909643268056393	2.15257931873202	0.404655683087185	0.478370581916534	8.7	0.0046	8.7	0.0046
600	-139.794984271956	149.862642676078	0.0927157062727779	2.56620561087038	0.359616674552672	0.406273400760256	8.7	0.0046	8.7	0.0046
700	-148.983848846754	150.876519979365	0.208346132592502	2.05925005744211	0.385108459158801	0.329376148525626	8.7	0.0046	8.7	0.0046
800	-138.266394424798	151.349750919637	0.0326495867299095	2.04545346379746	0.416031147819013	0.399194178218022	8.7	0.0046	8.7	0.0046
900	-136.479161373266	148.412329460781	0.219838523717393	2.1805884843925	0.416460951650515	0.457194457808509	8.7	0.0046	8.7	0.0046
1000	-131.111518555394	152.671999002963	0.0353337604861885	2.47010400542058	0.323494239593856	0.391259936243296	8.7	0.0046	8.7	0.0046
1100	3.35582084565367	154.434694075321	0.0322635652806789	1.35663750208914	0.523077243962326	0.358851195778698	8.7	0.0046	8.7	0.0046
1200	2.17773761917749	153.770622198312	0.02770871453287	1.27266704046633	0.475972651061602	0.387529033399188	8.7	0.0046	8.7	0.0046
1300	2.01196232873136	154.988574769276	0.0222294304363608	1.37375056662131	0.446142818615772	0.414863899792545	8.7	0.0046	8.7	0.0046
1400	-8.11240983045936	154.713769581495	0.0252004814723328	1.08127308334224	0.485758640407585	0.460954052745365	8.7	0.0046	8.7	0.0046
1500	33.0769564742273	156.097381495291	0.024587058873643	0.841567108058371	0.603027462447062	0.36980362571776	8.7	0.0046	8.7	0.0046
1600	55.9402067677435	158.21560112743	0.020970306646283	2.0795878523495	0.374824609374627	0.251065349555575	8.7	0.0046	8.7	0.0046
1700	45.0523475291814	151.167342315076	0.0599325181141317	1.617026078864	0.470382181648164	0.446776002668776	8.7	0.0046	8.7	0.0046
1800	173.91339463912	152.836127424044	0.0798694899461985	1.5152958194958	0.453270996734499	0.440938492421992	8.7	0.0046	8.7	0.0046
1900	176.967315877917	153.027313844758	0.0619763437967926	1.03763438400347	0.517578353127464	0.542396883200855	8.7	0.0046	8.7	0.0046
2000	182.267891034193	154.605474784285	0.0376589114854291	2.73098528257105	0.302278147288598	0.453344495245256	8.7	0.0046	8.7	0.0046
2100	185.100477916377	151.386559318467	0.126345662337932	1.64325932285283	0.445653342292644	0.378949677618221	8.7	0.0046	8.7	0.0046
2200	233.411869942684	151.006568068127	0.137508244540747	1.98702875524759	0.387299796543083	0.350004010554403	8.7	0.0046	8.7	0.0046
2300	227.515703047075	156.240199160659	0.0181179687537074	2.05247010581661	0.364554414968006	0.419297170941718	8.7	0.0046	8.7	0.0046
2400	216.4999690087	155.026171997246	0.0200136767776862	4.33363156113774	0.230194171331822	0.447047326061875	8.7	0.0046	8.7	0.0046
2500	222.585695836352	157.062886203947	0.0216240982368767	4.57086372096092	0.237543450063094	0.492295335861855	8.7	0.0046	8.7	0.0046
2600	223.734693568397	155.896156859125	0.0212831390632495	5.64055099640973	0.205156090739182	0.522216834942811	8.7	0.0046	8.7	0.0046
2700	225.659689043813	150.569892714467	0.360098142239061	4.95837782858871	0.210158286616205	0.372408179799096	8.7	0.0046	8.7	0.0046
2800	227.414874961699	153.824264088144	0.0939832014806747	3.34105246281251	0.251682255440391	0.551788796810434	8.7	0.0046	8.7	0.0046
