label,strain,virus,accession,sampling_date,adm2,adm1,adm0,authors
EBOV|18FHV089|MK007329|DRC|Nord-Kivu|2018-07-27,18FHV089,EBOV,MK007329,2018-07-27,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|18FHV090|MK007330|DRC|Nord-Kivu|2018-07-28,18FHV090,EBOV,MK007330,2018-07-28,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN165||DRC|Nord-Kivu|2018-08-11,BEN165,EBOV,,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN017|MK163644|DRC|Nord-Kivu|2018-08-03,BEN017,EBOV,MK163644,2018-08-03,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN018|MK163645|DRC|Nord-Kivu|2018-08-03,BEN018,EBOV,MK163645,2018-08-03,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN020|MK163646|DRC|Nord-Kivu|2018-08-03,BEN020,EBOV,MK163646,2018-08-03,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN031|MK163647|DRC|Nord-Kivu|2018-08-04,BEN031,EBOV,MK163647,2018-08-04,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN070|MK163648|DRC|Nord-Kivu|2018-08-06,BEN070,EBOV,MK163648,2018-08-06,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN104|MK163649|DRC|Nord-Kivu|2018-08-08,BEN104,EBOV,MK163649,2018-08-08,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1066||DRC|Nord-Kivu|2018-10-26,BEN1066,EBOV,,2018-10-26,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1084||DRC|Nord-Kivu|2018-10-26,BEN1084,EBOV,,2018-10-26,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN114|MK163650|DRC|Nord-Kivu|2018-08-08,BEN114,EBOV,MK163650,2018-08-08,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1271||DRC|Nord-Kivu|2018-10-31,BEN1271,EBOV,,2018-10-31,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN140|MK163651|DRC|Nord-Kivu|2018-08-10,BEN140,EBOV,MK163651,2018-08-10,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN141|MK163652|DRC|Nord-Kivu|2018-08-11,BEN141,EBOV,MK163652,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN143|MK163653|DRC|Nord-Kivu|2018-08-11,BEN143,EBOV,MK163653,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN146|MK163654|DRC|Nord-Kivu|2018-08-11,BEN146,EBOV,MK163654,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN148|MK163655|DRC|Nord-Kivu|2018-08-11,BEN148,EBOV,MK163655,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1543||DRC|Unknown|Unknown,BEN1543,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
EBOV|BEN162|MK163656|DRC|Nord-Kivu|2018-08-11,BEN162,EBOV,MK163656,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN163|MK163657|DRC|Nord-Kivu|2018-08-11,BEN163,EBOV,MK163657,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN164|MK163658|DRC|Nord-Kivu|2018-08-11,BEN164,EBOV,MK163658,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1656||DRC|Nord-Kivu|2018-11-09,BEN1656,EBOV,,2018-11-09,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1662|MK163659|DRC|Nord-Kivu|2018-11-09,BEN1662,EBOV,MK163659,2018-11-09,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN167|MK163660|DRC|Nord-Kivu|2018-08-11,BEN167,EBOV,MK163660,2018-08-11,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1674||DRC|Unknown|Unknown,BEN1674,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
EBOV|BEN1706||DRC|Unknown|Unknown,BEN1706,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
EBOV|BEN1708||DRC|Nord-Kivu|2018-11-10,BEN1708,EBOV,,2018-11-10,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1742||DRC|Nord-Kivu|2018-11-11,BEN1742,EBOV,,2018-11-11,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN1753||DRC|Unknown|Unknown,BEN1753,EBOV,,Unknown,Unknown,Unknown,COD,Mbala et al.
EBOV|BEN1811||DRC|Nord-Kivu|2018-11-13,BEN1811,EBOV,,2018-11-13,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2010||DRC|Nord-Kivu|2018-11-16,BEN2010,EBOV,,2018-11-16,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2024||DRC|Nord-Kivu|2018-11-16,BEN2024,EBOV,,2018-11-16,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2030||DRC|Nord-Kivu|2018-11-17,BEN2030,EBOV,,2018-11-17,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2062||DRC|Nord-Kivu|2018-11-17,BEN2062,EBOV,,2018-11-17,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2064||DRC|Nord-Kivu|2018-11-17,BEN2064,EBOV,,2018-11-17,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2072||DRC|Nord-Kivu|2018-11-17,BEN2072,EBOV,,2018-11-17,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2078||DRC|Nord-Kivu|2018-11-18,BEN2078,EBOV,,2018-11-18,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2079||DRC|Nord-Kivu|2018-11-18,BEN2079,EBOV,,2018-11-18,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2099||DRC|Nord-Kivu|2018-11-18,BEN2099,EBOV,,2018-11-18,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN214|MK163661|DRC|Unknown|2018-08-19,BEN214,EBOV,MK163661,2018-08-19,Unknown,Unknown,COD,Mbala et al.
EBOV|BEN2193||DRC|Nord-Kivu|2018-11-19,BEN2193,EBOV,,2018-11-19,Mutwanga,Nord-Kivu,COD,Mbala et al.
EBOV|BEN225|MK163662|DRC|Nord-Kivu|2018-08-23,BEN225,EBOV,MK163662,2018-08-23,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN230|MK163663|DRC|Nord-Kivu|2018-08-24,BEN230,EBOV,MK163663,2018-08-24,Oicha,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2329||DRC|Nord-Kivu|2018-11-22,BEN2329,EBOV,,2018-11-22,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2332||DRC|Nord-Kivu|2018-11-22,BEN2332,EBOV,,2018-11-22,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN234|MK163664|DRC|Nord-Kivu|2018-08-25,BEN234,EBOV,MK163664,2018-08-25,Mabalako,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2357||DRC|Nord-Kivu|2018-11-23,BEN2357,EBOV,,2018-11-23,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN236|MK163665|DRC|Nord-Kivu|2018-08-25,BEN236,EBOV,MK163665,2018-08-25,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN240|MK163666|DRC|Nord-Kivu|2018-08-25,BEN240,EBOV,MK163666,2018-08-25,Beni,Nord-Kivu,COD,Mbala et al.
EBOV|BEN2510||DRC|Nord-Kivu|2018-11-25,BEN2510,EBOV,,2018-11-25,Beni,Nord-Kivu,COD,Mbala et al.
